14:55:31.399	89	674.157
14:55:32.026	95	631.579
14:55:32.653	96	625
14:55:33.280	96	625
14:55:33.907	95	631.579
14:55:34.534	97	618.557
14:55:35.038	97	618.557
14:55:35.666	99	606.061
14:55:36.292	99	606.061
14:55:36.919	97	618.557
14:55:37.546	97	618.557
14:55:38.176	101	594.059
14:55:38.677	100	600
14:55:39.306	99	606.061
14:55:39.933	97	618.557
14:55:40.559	95	631.579
14:55:41.188	101	594.059
14:55:41.817	101	594.059
14:55:42.444	99	606.061
14:55:42.947	97	618.557
14:55:43.574	96	625
14:55:44.208	98	612.245
14:55:44.833	96	625
14:55:45.458	98	612.245
14:55:46.082	95	631.579
14:55:46.707	96	625
14:55:47.332	94	638.298
14:55:47.957	93	645.161
14:55:48.582	96	625
14:55:49.207	97	618.557
14:55:49.832	101	594.059
14:55:50.457	91	659.341
14:55:50.832	166	361.446
